	RepresentativeContig	Contig	EdgeType	RepresentativeLength	ContigLength	qstart	qend	sstart	send	Cluster_ID
0	SRR12664575.1.1_segment0_np1212	SRR12664619.12041.1	s in q	31319	349	7233	7575	3	344	0
1	SRR12664575.1.1_segment0_np1212	SRR12664619.12574.1	s in q	31319	404	15803	16201	0	400	0
2	SRR12664575.1.1_segment0_np1212	SRR12664619.29218.1	s in q	31319	451	23234	23660	5	431	0
3	SRR12664575.1.1_segment0_np1212	SRR12664619.30182.1	s in q	31319	551	18211	18743	2	531	0
4	SRR12664575.1.1_segment0_np1212	SRR12664619.3072.1	s in q	31319	904	3557	4447	5	895	0
5	SRR12664575.1.1_segment0_np1212	SRR12664619.3627.1	s in q	31319	365	13531	13891	0	360	0
6	SRR12664575.1.1_segment0_np1212	SRR12664619.41105.1	s in q	31319	402	6836	7238	2	401	0
7	SRR12664575.1.1_segment0_np1212	SRR12664619.53182.1	s in q	31319	544	4670	5215	1	542	0
8	SRR12664575.1.1_segment0_np1212	SRR12664619.5375.1	s in q	31319	306	22906	23196	7	297	0
9	SRR12664575.1.1_segment0_np1212	SRR12664619.6244.1	s in q	31319	359	23631	23985	2	356	0
10	SRR12664575.1.1_segment0_np1212	SRR12664619.6987.1	s in q	31319	453	30490	30934	1	445	0
11	SRR12664575.1.1_segment0_np1212	SRR12664619.70360.1	s in q	31319	799	24007	24794	9	796	0
12	SRR12664575.1.1_segment0_np1212	SRR12664619.76880.1	s in q	31319	390	7586	7970	3	386	0
13	SRR12664575.1.1_segment0_np1212	SRR12664619.91334.1	s in q	31319	583	24608	25174	9	575	0
14	SRR12664575.34.1_segment0_np1212	SRR12664619.52717.1	s in q	11381	321	8537	8846	6	315	1
15	SRR12664575.10.1_segment0_np1212	SRR12664619.8780.1	s in q	36840	351	25972	26288	4	318	2
16	SRR12664575.11.1_segment0_np1212	SRR12664619.36208.1	s in q	11517	1120	8636	9752	1	1115	2
17	SRR12664575.11.1_segment0_np1212	SRR12664619.56441.1	s in q	11517	349	4617	4945	9	338	2
18	SRR12664575.11.1_segment0_np1212	SRR12664619.61270.1	s in q	11517	359	5693	6017	31	355	2
19	SRR12664575.11.1_segment0_np1212	SRR12664619.63495.1	s in q	11517	868	7756	8602	17	861	2
20	SRR12664575.11.1_segment0_np1212	SRR12664619.88737.1	s in q	11517	390	9718	10100	0	381	2
